valueDate,notes,organization,email,clientName,amount,currency
27-Nov-19,Job Done,Worksuite Technologies LTD,alish@worksuite.co,CC,173.33,USD
27-Nov-19,Job Done,Worksuite Technologies LTD,alish@worksuite.co,NA,375,USD
20-Nov-19,Job Done,Worksuite Technologies LTD,alish@worksuite.co,CC,110,USD
20-Nov-19,Job Done,Worksuite Technologies LTD,alish@worksuite.co,NA,466.67,USD
13-Nov-19,Job Done,Worksuite Technologies LTD,alish@worksuite.co,CC,316.67,USD
13-Nov-19,Job Done,Worksuite Technologies LTD,alish@worksuite.co,NA,616.67,USD
6-Nov-19,Job Done,Worksuite Technologies LTD,alish@worksuite.co,CC,50,USD
6-Nov-19,Job Done,Worksuite Technologies LTD,alish@worksuite.co,NA,866.67,USD
27-Nov-19,Job Done,Worksuite Technologies LTD,alish@worksuite.co,LZ,445,USD
20-Nov-19,Job Done,Worksuite Technologies LTD,ruslan@worksuite.co,LZ,437.5,USD
13-Nov-19,Job Done,Worksuite Technologies LTD,ruslan@worksuite.co,LZ,432.5,USD
6-Nov-19,Job Done,Worksuite Technologies LTD,ruslan@worksuite.co,LZ,442.5,USD
27-Nov-19,Job Done,Worksuite Technologies LTD,elvis@worksuite.co,LZ,693.33,USD
20-Nov-19,Job Done,Worksuite Technologies LTD,elvis@worksuite.co,LZ,523.33,USD
13-Nov-19,Job Done,Worksuite Technologies LTD,elvis@worksuite.co,LZ,663.33,USD
6-Nov-19,Job Done,Worksuite Technologies LTD,elvis@worksuite.co,LZ,403.33,USD
27-Nov-19,Job Done,Worksuite Technologies LTD,hristo@worksuite.co,NA,570,USD
20-Nov-19,Job Done,Worksuite Technologies LTD,hristo@worksuite.co,NA,562.5,USD
13-Nov-19,Job Done,Worksuite Technologies LTD,hristo@worksuite.co,NA,600,USD
6-Nov-19,Job Done,Worksuite Technologies LTD,hristo@worksuite.co,NA,572.5,USD
29-Oct-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,ID,854,USD
04-Oct-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,CL,255,USD
30-Oct-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,AE,188,USD
02-Nov-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,PL,437,USD
28-Sep-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,ID,198,USD
25-Jan-22,Job Done,Worksuite Technologies LTD,alish@worksuite.co,PH,447,USD
24-Nov-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,FI,930,USD
05-Oct-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,CN,875,USD
01-Oct-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,NZ,262,USD
26-Jan-22,Job Done,Worksuite Technologies LTD,alish@worksuite.co,ID,107,USD
24-Jan-22,Job Done,Worksuite Technologies LTD,alish@worksuite.co,ID,504,USD
26-Nov-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,ID,935,USD
15-Oct-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,UA,417,USD
30-Nov-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,BR,959,USD
14-Jan-22,Job Done,Worksuite Technologies LTD,alish@worksuite.co,UA,960,USD
20-Jan-22,Job Done,Worksuite Technologies LTD,alish@worksuite.co,JP,291,USD
07-Dec-21,Job Done,Worksuite Technologies LTD,alish@worksuite.co,BR,662,USD
